Topic Area,Indicator Name,Measure,Data Year,Stratifier,Subgroup,Unit,Value,LL,UL,Flag,Comparison
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Overall,Toronto,%,1.9,1.7,2.1,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Overall,Ontario excluding Toronto,%,1.8,1.7,1.9,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Region_within_Ontario,Toronto,%,1.9,1.7,2.1,,CG
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Region_within_Ontario,Ontario excluding Toronto,%,1.8,1.7,1.9,,NS
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Region_within_Ontario,Lowest Ontario PHU,%,0.7,0.5,0.9,,L
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Region_within_Ontario,Highest Ontario PHU,%,6.9,4,9.8,,H
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Region_within_Ontario,GTA excluding Toronto,%,0.9,0.8,1,,L
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2013,Time,2013,%,1,0.9,1.2,C(M),
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2014,Time,2014,%,1.6,1.4,1.7,C(M),
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2015,Time,2015,%,2.1,1.9,2.3,C(M),
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2016,Time,2016,%,2.1,1.9,2.2,C(M),
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2017,Time,2017,%,1.9,1.7,2,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2018,Time,2018,%,1.9,1.8,2.1,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2019,Time,2019,%,1.8,1.6,1.9,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2020,Time,2020,%,1.9,1.7,2.1,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Time,2021,%,1.9,1.7,2.1,,
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Income_Quintile,Quintile 1,%,1.2,0.9,1.5,,L
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Income_Quintile,Quintile 2,%,1.2,0.9,1.6,,L
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Income_Quintile,Quintile 3,%,1.7,1.3,2.1,,L
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Income_Quintile,Quintile 4,%,2.3,1.9,2.7,,NS
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Income_Quintile,Quintile 5,%,2.9,2.5,3.4,,CG
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Maternal_Age,Less than 25 Years,%,2.1,1.4,2.8,,NS
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Maternal_Age,25 to 34 Years,%,1.6,1.4,1.8,,CG
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Maternal_Age,35 Years and Older,%,2.3,2,2.6,,H
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Parity,Primiparous,%,2.4,2.1,2.7,,H
Reproductive_and_Infant_Health,Alcohol Exposure During Pregnancy,Percent with Any Alcohol Exposure During Pregnancy,2021,Parity,Multiparous,%,1.4,1.2,1.6,,CG
