Neighbourhood,Total population,number of educated people,number of 15-45,number of employers,long_latt,number_gyms,number_venues
Agincourt North,30280.0,19805.0,11850.0,13230.0,"[-79.2816161258827, 43.797405754163]",0.0,26.0
Agincourt South-Malvern West,21990.0,14535.0,8840.0,9860.0,"[-79.2891688527481, 43.7851873380096]",0.0,34.0
Alderwood,11900.0,7915.0,4520.0,6240.0,"[-79.5532040267975, 43.5954996876866]",1.0,17.0
Annex,29180.0,23495.0,15095.0,16770.0,"[-79.4121466573202, 43.6744312990078]",3.0,63.0
Banbury-Don Mills,26910.0,20555.0,9615.0,13030.0,"[-79.326504539789, 43.7325704244428]",2.0,14.0
Bathurst Manor,15435.0,10385.0,6115.0,7425.0,"[-79.430502667246, 43.7575784301813]",1.0,26.0
Bay Street Corridor,19345.0,16495.0,12800.0,10220.0,"[-79.3912583210563, 43.6606532521722]",1.0,96.0
Bayview Village,17675.0,13960.0,7900.0,8750.0,"[-79.3834514087178, 43.7640817777541]",3.0,37.0
Bayview Woods-Steeles,13535.0,10105.0,4675.0,5935.0,"[-79.3714520973767, 43.8045095069159]",0.0,18.0
Bedford Park-Nortown,23185.0,16330.0,8295.0,10945.0,"[-79.4274225674093, 43.7096042496363]",0.0,14.0
Beechborough-Greenbrook,6490.0,3585.0,2805.0,2790.0,"[-79.4647302913102, 43.692362616926]",0.0,25.0
Bendale,27870.0,18300.0,11460.0,12180.0,"[-79.2400495723641, 43.7466257573718]",0.0,13.0
Birchcliffe-Cliffside,21860.0,14975.0,7880.0,10925.0,"[-79.2698201397013, 43.6958383345337]",0.0,15.0
Black Creek,22060.0,11265.0,9380.0,8280.0,"[-79.5168068949797, 43.7709321923081]",0.0,16.0
Blake-Jones,7765.0,4980.0,3475.0,3805.0,"[-79.3354787855352, 43.6725854142185]",1.0,75.0
Briar Hill-Belgravia,14295.0,9600.0,6220.0,7585.0,"[-79.4400702000353, 43.7055855281681]",0.0,24.0
Bridle Path-Sunnybrook-York Mills,8715.0,6570.0,2840.0,4025.0,"[-79.4022194797677, 43.7441935625678]",1.0,15.0
Broadview North,11565.0,8055.0,5180.0,5805.0,"[-79.3630337935626, 43.683474326764404]",1.0,48.0
Brookhaven-Amesbury,17785.0,10145.0,7505.0,7860.0,"[-79.4770994524835, 43.7090878618258]",0.0,22.0
Cabbagetown-South St. James Town,12050.0,9595.0,5335.0,7155.0,"[-79.3713421467449, 43.6718887916088]",0.0,87.0
Caledonia-Fairbank,9855.0,5285.0,4240.0,4785.0,"[-79.4628934618934, 43.6889767313266]",0.0,26.0
Casa Loma,10485.0,8760.0,4320.0,6140.0,"[-79.4014550142353, 43.686640919782]",7.0,64.0
Centennial Scarborough,13100.0,9790.0,4800.0,6870.0,"[-79.1456260825496, 43.7697284079075]",0.0,9.0
Church-Yonge Corridor,28345.0,25065.0,17970.0,17795.0,"[-79.3830705117445, 43.6613720049663]",0.0,98.0
Clairlea-Birchmount,24775.0,16145.0,10450.0,11720.0,"[-79.2698075136083, 43.7016197049505]",0.0,24.0
Clanton Park,14610.0,10110.0,6030.0,7555.0,"[-79.4436682094965, 43.7311189337355]",2.0,58.0
Cliffcrest,15700.0,10505.0,5685.0,7190.0,"[-79.2252201206122, 43.7112728027011]",1.0,9.0
Corso Italia-Davenport,13735.0,8005.0,6170.0,6700.0,"[-79.4521351447371, 43.6720006802834]",1.0,64.0
Danforth,9450.0,6215.0,3995.0,4855.0,"[-79.3167143358462, 43.68877266712471]",0.0,45.0
Danforth East York,16710.0,11335.0,6940.0,9060.0,"[-79.3164905693791, 43.6943022597829]",0.0,21.0
Don Valley Village,26735.0,19700.0,11600.0,12325.0,"[-79.3662204557787, 43.790141293136706]",0.0,27.0
Dorset Park,24360.0,15435.0,9995.0,10715.0,"[-79.26826826942602, 43.7601505266218]",0.0,31.0
Dovercourt-Wallace Emerson-Junction,34635.0,21815.0,17335.0,18910.0,"[-79.4545074472216, 43.6616327757039]",2.0,89.0
Downsview-Roding-CFB,34650.0,19565.0,14360.0,15800.0,"[-79.5284311615202, 43.7193551775753]",0.0,13.0
Dufferin Grove,11450.0,8005.0,6020.0,6650.0,"[-79.4316412650605, 43.6527430564478]",0.0,99.0
East End-Danforth,20840.0,14275.0,8885.0,11045.0,"[-79.2849230873244, 43.6807253738272]",0.0,40.0
Edenbridge-Humber Valley,14945.0,10930.0,5390.0,7245.0,"[-79.51538605271371, 43.6586966281016]",1.0,26.0
Eglinton East,22830.0,13935.0,9220.0,9010.0,"[-79.2581798488883, 43.7422531679878]",0.0,11.0
Elms-Old Rexdale,9550.0,5470.0,3890.0,4065.0,"[-79.55307975439071, 43.7298315076541]",0.0,8.0
Englemount-Lawrence,22080.0,14080.0,8420.0,8965.0,"[-79.447423145596, 43.7250977242017]",3.0,74.0
Eringate-Centennial-West Deane,18805.0,13355.0,6605.0,8900.0,"[-79.5732808174987, 43.6447371651577]",0.0,14.0
Etobicoke West Mall,10925.0,7000.0,4185.0,4970.0,"[-79.5702971112455, 43.6385405295131]",0.0,25.0
Flemingdon Park,22165.0,14100.0,9595.0,8790.0,"[-79.3447628886306, 43.7150405941081]",0.0,37.0
Forest Hill North,12475.0,9405.0,5280.0,6655.0,"[-79.4165388363939, 43.7079720847151]",1.0,27.0
Forest Hill South,10925.0,8495.0,4295.0,5610.0,"[-79.4014344934971, 43.6910599029414]",4.0,65.0
Glenfield-Jane Heights,31395.0,15020.0,12545.0,11320.0,"[-79.5053339191882, 43.757902523714]",0.0,18.0
Greenwood-Coxwell,14075.0,9275.0,6380.0,7025.0,"[-79.3155936837105, 43.665629600505]",4.0,68.0
Guildwood,9815.0,7285.0,3040.0,4645.0,"[-79.205068651069, 43.7535091917318]",0.0,15.0
Henry Farm,11340.0,8305.0,5425.0,5070.0,"[-79.36344339205192, 43.771211422560405]",0.0,36.0
High Park North,21300.0,16840.0,10500.0,12375.0,"[-79.473687105861, 43.6618491708331]",2.0,74.0
High Park-Swansea,21750.0,16420.0,9205.0,12060.0,"[-79.4521493275074, 43.6551927866022]",0.0,98.0
Highland Creek,13100.0,9875.0,5080.0,6700.0,"[-79.1900496268942, 43.7789760866027]",1.0,17.0
Hillcrest Village,17650.0,13355.0,6495.0,7570.0,"[-79.3691568902213, 43.7950899473645]",0.0,29.0
Humber Heights-Westmount,10580.0,6625.0,3465.0,4480.0,"[-79.5060778366171, 43.6800127496212]",0.0,5.0
Humber Summit,12530.0,6510.0,5000.0,5155.0,"[-79.5370671778546, 43.7531040469983]",0.0,16.0
Humbermede,15850.0,9195.0,6820.0,6810.0,"[-79.5490795311033, 43.7357092350169]",0.0,8.0
Humewood-Cedarvale,14110.0,10695.0,6780.0,8185.0,"[-79.4342314357121, 43.6917086927974]",0.0,13.0
Ionview,13095.0,8460.0,5550.0,5760.0,"[-79.2675094482568, 43.730909764805]",0.0,20.0
Islington-City Centre West,38070.0,28235.0,15960.0,19735.0,"[-79.541660068977, 43.6150511840077]",0.0,47.0
Junction Area,14015.0,7945.0,6840.0,6545.0,"[-79.4686693253837, 43.6761412832912]",0.0,53.0
Keelesdale-Eglinton West,10640.0,5450.0,4395.0,5000.0,"[-79.4640654427806, 43.6913264641156]",0.0,25.0
Kennedy Park,17050.0,10895.0,6825.0,6925.0,"[-79.2557419625388, 43.7177645249128]",0.0,13.0
Kensington-Chinatown,18500.0,13210.0,10420.0,9495.0,"[-79.3889278224463, 43.6563478260557]",0.0,98.0
Kingsview Village-The Westway,21725.0,12860.0,8480.0,8935.0,"[-79.5373732982275, 43.7082631716579]",1.0,21.0
Kingsway South,9175.0,6700.0,2920.0,4570.0,"[-79.5221412263233, 43.656033016036005]",1.0,29.0
Lambton Baby Point,7920.0,5315.0,3095.0,3990.0,"[-79.3075373880448, 43.7886401952854]",0.0,20.0
L'Amoreaux,44915.0,29465.0,17720.0,19450.0,"[-79.5055865811382, 43.6654755684059]",0.0,19.0
Lansing-Westgate,14640.0,11370.0,6580.0,7550.0,"[-79.4095250554848, 43.7562809662757]",3.0,49.0
Lawrence Park North,14540.0,10345.0,5550.0,7515.0,"[-79.4049913405976, 43.7359806040823]",1.0,56.0
